iter	RMSE
489	47.44625224
490	47.44146914
491	47.43910389
492	47.43470273
493	47.42748385
494	47.42344339
495	47.41868028
496	47.41511395
497	47.41096012
498	47.40602182
499	47.39982559
